,Drug_ID1,Drug_ID2,Weight
17716,DB00118,DB00118,0.8333333333333334
20015,DB00119,DB00119,0.8333333333333334
22199,DB00120,DB00120,0.8333333333333334
22659,DB00120,DB00135,0.5339713787274587
23604,DB00121,DB00121,0.8333333333333334
25125,DB00122,DB14006,0.7196969696969697
25918,DB00122,DB00122,0.8333333333333334
27551,DB00123,DB00123,0.8333333333333334
27832,DB00123,DB00129,0.5236795060421037
28571,DB00126,DB00126,0.8333333333333334
30547,DB00128,DB00174,0.557190302927805
30705,DB00128,DB00139,0.5093176624675312
32027,DB00128,DB00128,0.8333333333333334
33221,DB00129,DB00123,0.5236795060421037
33502,DB00129,DB00129,0.8333333333333334
34518,DB00130,DB00130,0.8333333333333334
35931,DB00131,DB13158,0.5296435950345161
35952,DB00131,DB00620,0.5370524204857944
36014,DB00131,DB00394,0.5298273985751897
36027,DB00131,DB00640,0.5023229877875561
36056,DB00131,DB00246,0.5248297930478006
36067,DB00131,DB01065,0.6092568596540758
36076,DB00131,DB01029,0.527919684848512
36097,DB00131,DB01136,0.6522343302543862
36104,DB00131,DB00277,0.559150702274811
36151,DB00131,DB06781,0.5296061086277178
36197,DB00131,DB00324,0.5346446111373774
36199,DB00131,DB00741,0.5467622384453502
36247,DB00131,DB01380,0.5293094462469184
36268,DB00131,DB00988,0.5349891875768481
36272,DB00131,DB00635,0.5402890298612143
36275,DB00131,DB01260,0.5369252869810014
36291,DB00131,DB00751,0.5820387898354192
36420,DB00131,DB13345,0.514210430470336
36424,DB00131,DB00216,0.5793809523511254
36467,DB00131,DB00623,0.5196036204668814
36497,DB00131,DB00253,0.5335881347715087
36515,DB00131,DB09068,0.5631608940091462
36537,DB00131,DB00734,0.534016693126668
36541,DB00131,DB14540,0.5438097863666845
36555,DB00131,DB00834,0.5347941851814906
36585,DB00131,DB00959,0.539911367094741
36600,DB00131,DB08906,0.5313792564520478
36635,DB00131,DB01410,0.5299163790463178
36675,DB00131,DB04946,0.5291750137841549
36721,DB00131,DB00737,0.5210187874390907
36725,DB00131,DB14541,0.5402095636860019
36757,DB00131,DB14596,0.533646726598195
36893,DB00131,DB00288,0.5389727356199688
36969,DB00131,DB00896,0.5332889269713869
36973,DB00131,DB01267,0.5364470081250263
37019,DB00131,DB01013,0.5314932442605598
37021,DB00131,DB00240,0.5380638977876667
37023,DB00131,DB06216,0.5126638636636776
37049,DB00131,DB01234,0.5724629831614348
37052,DB00131,DB01223,0.53184190138871
37110,DB00131,DB01608,0.5241357357103048
37135,DB00131,DB09225,0.5351530875445399
37153,DB00131,DB00248,0.5030738549584796
37161,DB00131,DB00443,0.5360517226933558
37270,DB00131,DB00363,0.5195351471941851
37298,DB00131,DB01224,0.5179086477418569
37307,DB00131,DB01118,0.5202135903904
37343,DB00131,DB00663,0.53604618465813
37354,DB00131,DB00451,0.5099285688402676
37385,DB00131,DB00588,0.5402713481504701
37399,DB00131,DB14185,0.5219249164674273
37407,DB00131,DB00247,0.5909165504932358
37408,DB00131,DB00838,0.5344073835977997
37427,DB00131,DB00860,0.5400138773457662
37435,DB00131,DB00589,0.5304926267969258
37440,DB00131,DB00846,0.5339255833311795
37450,DB00131,DB00366,0.512440492630403
37479,DB00131,DB01183,0.6447185594304666
37487,DB00131,DB14539,0.5439913385952165
37492,DB00131,DB00201,0.5439133743301086
37499,DB00131,DB00668,0.5081559554758958
37509,DB00131,DB01200,0.522547206575744
37518,DB00131,DB00408,0.5180797493466744
37521,DB00131,DB01222,0.53652658025925
37528,DB00131,DB00131,1.0
37561,DB00131,DB00966,0.5094641310876356
37564,DB00131,DB08868,0.5243692443021571
37565,DB00131,DB00370,0.5136053329681552
37594,DB00131,DB01303,0.5394471921492575
37612,DB00131,DB06288,0.5498780068055718
37645,DB00131,DB01047,0.5312679599020024
37655,DB00131,DB08815,0.5592259502493117
37658,DB00131,DB00591,0.5250665175673341
37726,DB00131,DB14543,0.5397496851091309
37740,DB00131,DB00841,0.6070050895477336
37749,DB00131,DB01238,0.5241873287903541
37760,DB00131,DB00223,0.53604618465813
37770,DB00131,DB11823,0.5553482268798917
37815,DB00132,DB00307,0.5191876676100746
37818,DB00132,DB02266,0.5199702546205164
37890,DB00132,DB01393,0.5912156241496214
37891,DB00132,DB00132,0.8333333333333334
37907,DB00132,DB00523,0.5177294721108063
37923,DB00132,DB03193,0.5353560320611496
37930,DB00132,DB01014,0.5432040874872762
37992,DB00132,DB11133,0.5400014989580927
38024,DB00132,DB00159,0.6582051282193329
38053,DB00132,DB00197,0.5214011791035734
38128,DB00132,DB00755,0.503993308752198
38146,DB00132,DB04224,0.6552761464776088
38254,DB00132,DB03756,0.6214563178986422
38271,DB00132,DB00210,0.5247159493976691
38539,DB00132,DB00412,0.597187217930741
38541,DB00132,DB01436,0.522127091476269
38570,DB00132,DB00573,0.5656569781400073
38660,DB00132,DB01063,0.5063876855730106
38699,DB00132,DB00459,0.5131383275874005
38747,DB00132,DB01241,0.5118620803652675
38967,DB00132,DB01132,0.5806704411047453
38969,DB00132,DB02546,0.5089452502477353
39096,DB00132,DB00912,0.5450224237074937
39119,DB00132,DB11605,0.5247195348453563
39197,DB00132,DB01118,0.5238139566836215
39247,DB00132,DB00731,0.5378447729527275
39267,DB00132,DB00328,0.5376005092612183
39292,DB00132,DB00749,0.5384092547665401
39309,DB00132,DB13873,0.5611550619202295
39451,DB00132,DB00966,0.5352764129267678
39454,DB00132,DB08868,0.5096137283994283
39476,DB00132,DB01039,0.5590576197332017
39561,DB00132,DB01067,0.5364223422460603
40086,DB00134,DB02893,0.6450769015627061
41414,DB00134,DB00134,0.8333333333333334
42547,DB00135,DB00765,0.535222080833751
42989,DB00135,DB00120,0.5339713787274587
43449,DB00135,DB00135,0.8333333333333334
43524,DB00136,DB08867,0.5016008773223677
43716,DB00136,DB00910,0.6979743265993266
43803,DB00136,DB00169,0.7184050489168413
