,Disease1,Disease2,Sim_score
1350,D000172,D018781,0.2645655330093978
1351,D000172,D018792,0.3190821709572591
1352,D000172,D018860,0.2256373025757556
1354,D000172,D018887,0.2328850708296914
1355,D000172,D018888,0.2473457913318396
1356,D000172,D018908,0.2823369338392522
1358,D000172,D018979,0.23767386524028
1360,D000172,D019150,0.2850534856755991
1361,D000172,D019305,0.2418637614095537
1366,D000172,D019578,0.278430676396717
1367,D000172,D019585,0.2794173845040331
1368,D000172,D019586,0.3245158563501878
1369,D000172,D019636,0.2618254867049165
1370,D000172,D019846,0.2367536921498567
1371,D000172,D019954,0.2535184180818129
1372,D000172,D020019,0.2145361608506846
1374,D000172,D020140,0.3181265531533762
1375,D000172,D020143,0.2580198084651731
1376,D000172,D020144,0.2551013711274678
1377,D000172,D020145,0.2280682422075066
1378,D000172,D020146,0.2078071718706936
1380,D000172,D020150,0.1956482665311949
1381,D000172,D020158,0.2206997772342324
1382,D000172,D020159,0.2221499355397825
1383,D000172,D020162,0.2156159265457868
1384,D000172,D020163,0.2400423494599845
1385,D000172,D020165,0.206794715579461
1386,D000172,D020167,0.1802169832371521
1387,D000172,D020176,0.2313811357301144
1391,D000172,D020181,0.1782443230234139
1399,D000172,D020190,0.2375681085230458
1400,D000172,D020191,0.2559220373597676
1401,D000172,D020192,0.2166627458862307
1402,D000172,D020194,0.206060015085072
1403,D000172,D020195,0.2631116233150831
1404,D000172,D020196,0.2566953683744662
1406,D000172,D020198,0.3032546702949831
1407,D000172,D020199,0.2312273554989249
1408,D000172,D020200,0.2415514329463614
1409,D000172,D020201,0.2398891090887787
1410,D000172,D020202,0.2199466870240681
1411,D000172,D020203,0.1896995734151185
1414,D000172,D020206,0.2165284298120009
1416,D000172,D020208,0.2537337941516093
1417,D000172,D020209,0.1844020427959655
1418,D000172,D020210,0.1747694428323699
1420,D000172,D020212,0.2819292995084178
1421,D000172,D020214,0.3026026504381692
1422,D000172,D020215,0.2449248083846637
1423,D000172,D020216,0.2343282680605522
1424,D000172,D020217,0.2489436481505484
1427,D000172,D020225,0.2150907560522754
1428,D000172,D020226,0.2251257317574594
1429,D000172,D020227,0.2127957209992669
1430,D000172,D020232,0.226156079793744
1431,D000172,D020233,0.1733720563347634
1434,D000172,D020236,0.2468342878961982
1438,D000172,D020241,0.2053603768386608
1439,D000172,D020242,0.206729442
1440,D000172,D020243,0.2163026382470637
1441,D000172,D020244,0.2750102015752531
1442,D000172,D020258,0.2131868969545823
1443,D000172,D020260,0.1807792174370001
1449,D000172,D020267,0.2506871521147648
1450,D000172,D020268,0.1717379232215817
1453,D000172,D020271,0.2273026780409481
1454,D000172,D020274,0.2409915802607526
1457,D000172,D020278,0.3459557886338347
1458,D000172,D020279,0.2812390642897829
1459,D000172,D020288,0.2250864426005877
1460,D000172,D020293,0.2981780297636326
1462,D000172,D020295,0.2577701033695553
1463,D000172,D020299,0.2302796697935258
1464,D000172,D020300,0.3450838419763068
1465,D000172,D020301,0.2775265664909485
1466,D000172,D020306,0.2543739709467389
1467,D000172,D020314,0.2496212763809382
1470,D000172,D020325,0.2573834724858798
1471,D000172,D020326,0.2424828011617236
1472,D000172,D020329,0.2305624405874716
1480,D000172,D020343,0.2793133707930447
1481,D000172,D020361,0.181347272960399
1482,D000172,D020362,0.2324482058217864
1483,D000172,D020363,0.2430343003987957
1485,D000172,D020371,0.2201246990920947
1487,D000172,D020386,0.2183749461204066
1488,D000172,D020388,0.2552690221665626
1489,D000172,D020389,0.214705759
1490,D000172,D020391,0.2252499940049412
1492,D000172,D020421,0.1884310567019257
1493,D000172,D020422,0.2022180157159898
1494,D000172,D020423,0.1807872055481452
1497,D000172,D020426,0.1756009225351973
1504,D000172,D020433,0.18065432
1507,D000172,D020447,0.1817073929304324
1508,D000172,D020511,0.2013119949739334
1509,D000172,D020512,0.2099604161859957
1510,D000172,D020513,0.1998453025113074
1511,D000172,D020514,0.2198084244779576
1513,D000172,D020520,0.3277803155938443
1514,D000172,D020521,0.356461656286492
1515,D000172,D020526,0.2575011650198748
1517,D000172,D020529,0.1773799581964497
1519,D000172,D020721,0.189797561008845
1520,D000172,D020734,0.3508579415252305
1521,D000172,D020739,0.3432080726467467
1522,D000172,D020752,0.2076220548662498
1523,D000172,D020754,0.2805760243750077
1525,D000172,D020758,0.2349294332240357
1526,D000172,D020759,0.1711602065477936
1527,D000172,D020760,0.2178420989731932
1528,D000172,D020762,0.2180435893332155
1529,D000172,D020765,0.3496469408267574
1530,D000172,D020766,0.2771449566595912
1531,D000172,D020767,0.2893130557523959
1532,D000172,D020773,0.3607433637845539
1533,D000172,D020774,0.2334524250294699
1535,D000172,D020785,0.1886758577236258
1538,D000172,D020788,0.4636008597986109
1540,D000172,D020802,0.2092177877624554
1541,D000172,D020803,0.2447017134458116
1542,D000172,D020804,0.2187553216429016
1543,D000172,D020805,0.2979007254762613
1544,D000172,D020806,0.2937159847628153
1545,D000172,D020807,0.2702942538426988
1546,D000172,D020808,0.2507991906616214
1547,D000172,D020809,0.2341384859671373
1548,D000172,D020814,0.1779188909879765
1549,D000172,D020818,0.1747822826737592
1550,D000172,D020819,0.2474339317146827
1551,D000172,D020820,0.3084806254694034
1552,D000172,D020821,0.2611063695423226
1554,D000172,D020833,0.2442260746437895
1555,D000172,D020852,0.2012086204755476
1557,D000172,D020879,0.2191620013512547
1558,D000172,D020886,0.1968887477395868
1559,D000172,D020914,0.2534841958952633
1561,D000172,D020918,0.1743359511870734
1562,D000172,D020919,0.2135691201741013
1563,D000172,D020920,0.22370685247438
1567,D000172,D020925,0.2773259886257211
1568,D000172,D020936,0.2391767674884614
1569,D000172,D020937,0.2084944394694706
1570,D000172,D020938,0.21611849060739
1572,D000172,D020943,0.1855970456125329
1573,D000172,D020945,0.2343712464082656
1574,D000172,D020953,0.1874879681529681
1575,D000172,D020955,0.2066950875812473
1576,D000172,D020961,0.2654174451439848
1577,D000172,D020966,0.3174264402677614
1578,D000172,D020967,0.2857702156881478
1580,D000172,D021081,0.1796506874887068
1581,D000172,D024801,0.2267722714762886
1587,D000172,D029461,0.2012935242365668
1588,D000172,D034062,0.1760524818854532
1589,D000172,D034081,0.1948770650455851
1590,D000172,D034381,0.2134581367645077
1592,D000172,D038261,0.217817789
1594,D000172,D038901,0.1849694459049138
1596,D000172,D039141,0.2049452773059558
1599,D000172,D046589,0.2302468617597778
1601,D000172,D046648,0.2172550104127832
1602,D000172,D047748,0.6844146116564742
1603,D000172,D049288,0.2299800530117664
1605,D000172,D049310,0.2092371901886658
1606,D000172,D049912,0.4982927370289036
1607,D000172,D049913,0.5119502361971779
1608,D000172,D050798,0.2157272041249076
1609,D000172,D051270,0.3380672074168146
1610,D000172,D051271,0.2898228849067879
1611,D000172,D051298,0.2351038710446249
1612,D000172,D051299,0.2430006496430254
1613,D000172,D051302,0.2114472545905456
1614,D000172,D051303,0.2832671833507031
1618,D000172,D052516,0.2541663032583537
1619,D000172,D052517,0.1822702419951944
1620,D000172,D052536,0.1892678009366832
1621,D000172,D052537,0.1942452415886431
1622,D000172,D052556,0.2270783538486939
1623,D000172,D052879,0.1781411542482957
1624,D000172,D052880,0.2141190266410391
1625,D000172,D052919,0.1791229436898855
1628,D000172,D053578,0.1793051141265549
1632,D000172,D054038,0.2524783729471609
1634,D000172,D054078,0.210341056371867
