Disease,Drug
D001930,DB13751
D001930,DB01159
D001930,DB00328
D001930,DB00753
D001930,DB00951
D001930,DB01221
D001930,DB01202
D001930,DB01235
D001930,DB00281
D001930,DB08882
D001930,DB00227
D001930,DB00653
D001930,DB01065
D001930,DB01043
D001930,DB00331
D001930,DB00563
D001930,DB00422
D001930,DB00959
D001930,DB01017
D001930,DB01183
D001930,DB00627
D001930,DB00184
D001930,DB00393
D001930,DB00435
D001930,DB00325
D001930,DB01092
D001930,DB01626
D001930,DB00312
D001930,DB01174
D001930,DB00388
D001930,DB01085
D001930,DB01132
D001930,DB11263
D001930,DB00733
D001930,DB00396
D001930,DB00818
D001930,DB00550
D001930,DB00899
D001930,DB00206
D001930,DB00412
D001930,DB01698
D001930,DB00747
D001930,DB01037
D001930,DB01236
D001930,DB00641
D001930,DB00428
D001930,DB00382
D001930,DB00864
D001930,DB06204
D001930,DB00277
D001930,DB00599
D001930,DB00273
D001930,DB00193
D001930,DB00313
D001930,DB01080
D001930,DB00541
D001930,DB00682
D001930,DB01593
D001930,DB00315
D001930,DB00425
D000070642,DB11672
D002545,DB00659
D002545,DB06151
D002545,DB00640
D002545,DB00513
D002545,DB00182
D002545,DB00126
D002545,DB00181
D002545,DB06774
D002545,DB00262
D002545,DB01212
D002545,DB00515
D002545,DB00758
D002545,DB00907
D002545,DB11672
D002545,DB01119
D002545,DB00975
D002545,DB00822
D002545,DB00584
D002545,DB00668
D002545,DB01196
D002545,DB00898
D002545,DB00292
D002545,DB00949
D002545,DB04841
D002545,DB00544
D002545,DB01109
D002545,DB09526
D002545,DB01050
D002545,DB01181
D002545,DB00808
D002545,DB00328
D002545,DB00753
D002545,DB00982
D002545,DB00270
D002545,DB11757
D002545,DB01221
D002545,DB00281
D002545,DB01065
D002545,DB01017
D002545,DB00691
D002545,DB00295
D002545,DB01183
D002545,DB00622
D002545,DB09220
D002545,DB01115
D002545,DB06712
D002545,DB04743
D002545,DB00393
D002545,DB00435
D002545,DB00727
D002545,DB00368
D002545,DB09140
D002545,DB00388
D002545,DB00981
D002545,DB01085
D002545,DB09369
D002545,DB00818
D002545,DB00533
D002545,DB00412
D002545,DB01236
D002545,DB00641
D002545,DB01138
D002545,DB00864
D002545,DB00675
D002545,DB00966
D002545,DB00624
D002545,DB00599
D002545,DB00273
D002545,DB00302
D002545,DB00309
D002545,DB00163
D002545,DB00682
D001932,DB00993
D001932,DB00262
D001932,DB00515
D001932,DB00257
D001932,DB09130
D001932,DB11672
D001932,DB00987
D001932,DB00694
D001932,DB01234
D001932,DB00255
D001932,DB00997
D001932,DB00773
D001932,DB01181
D001932,DB00328
