Disease1,Disease2,Sim_score
D000170,D008585,0.12033116742813865
D000170,D008586,0.11234729420836875
D000170,D008587,0.12422286310721056
D000170,D008588,0.1157564600787135
D000170,D008590,0.12478161692001169
D000170,D008591,0.120751216
D000170,D008607,0.17315693518999786
D000170,D008831,0.11941412256118347
D000170,D008881,0.14459990897036923
D000170,D009069,0.1976941056262261
D000170,D009072,0.11132025352034407
D000170,D009081,0.10683827742417602
D000170,D009103,0.15436634605307095
D000170,D009120,0.1345091130400014
D000170,D009122,0.14525071663983016
D000170,D009123,0.11855741310771613
D000170,D009127,0.1322829616780948
D000170,D009128,0.14672069039692026
D000170,D009133,0.1386081055488472
D000170,D009134,0.30753208585617403
D000170,D009135,0.4093432367325782
D000170,D009136,0.340087179
D000170,D009155,0.10947509942080225
D000170,D009157,0.3287410141888481
D000170,D009187,0.15722130697010578
D000170,D009188,0.11817766383840192
D000170,D009207,0.12202724009682808
D000170,D009220,0.35077485412452003
D000170,D009222,0.11540783010178834
D000170,D009223,0.2960094210700813
D000170,D009224,0.2720607937751665
D000170,D009290,0.11713148802451087
D000170,D009347,0.10353540577817892
D000170,D009408,0.45308482468129563
D000170,D009421,0.18695586697581454
D000170,D009423,0.20968919169957193
D000170,D009436,0.16184888778727682
D000170,D009437,0.4328408068732365
D000170,D009443,0.42662428118634815
D000170,D009444,0.34648711940221105
D000170,D009455,0.4237795487329265
D000170,D009456,0.3790012816160083
D000170,D009459,0.5167610877832006
D000170,D009461,0.23608735170720752
D000170,D009464,0.1433906409305358
D000170,D009468,0.45696080096807973
D000170,D009471,0.10851815828475642
D000170,D009472,0.11403454444541623
D000170,D009477,0.37493494772673497
D000170,D009494,0.11606838910077881
D000170,D009542,0.10960636612762231
D000170,D009759,0.13175869790436728
D000170,D009800,0.10380400451360323
D000170,D009849,0.10617022975599866
D000170,D009886,0.13692367387491813
D000170,D009896,0.13322474122400524
D000170,D009901,0.16356079898360612
D000170,D009902,0.13425247811709487
D000170,D009917,0.11307382720209044
D000170,D010211,0.12231822757653654
D000170,D010243,0.17698197251647024
D000170,D010244,0.2821958588040479
D000170,D010245,0.28964355751670817
D000170,D010264,0.13773779153024238
D000170,D010291,0.1361604859697816
D000170,D010292,0.12354863515480652
D000170,D010300,0.1544895478397817
D000170,D010301,0.10695078213117153
D000170,D010302,0.12652948737870157
D000170,D010468,0.15776652431481286
D000170,D010523,0.5344170260884485
D000170,D010524,0.4735811056172282
D000170,D010591,0.11189213154384639
D000170,D010661,0.12236811107791376
D000170,D010845,0.10500938047388271
D000170,D010871,0.11085204424995428
D000170,D010899,0.10714773061715266
D000170,D010900,0.16963618010371978
D000170,D010911,0.14227287618324072
D000170,D011007,0.11254324189409193
D000170,D011051,0.3316702408420506
D000170,D011052,0.27324864191658643
D000170,D011115,0.4640510666877164
D000170,D011128,0.37109246109085353
D000170,D011129,0.41573885217181933
D000170,D011218,0.11102435266634576
D000170,D011304,0.10992117216130959
D000170,D011557,0.11172091857346486
D000170,D011559,0.11729287726542434
D000170,D011595,0.1254985444101136
D000170,D011596,0.14629661183205658
D000170,D011681,0.13713265458363122
D000170,D011782,0.13042533409398024
D000170,D011843,0.41426689096415836
D000170,D012001,0.10930023734213357
D000170,D012019,0.39156361534682577
D000170,D012021,0.12728429901762298
D000170,D012035,0.3326196707209854
D000170,D012133,0.1146615334388191
D000170,D012148,0.11368407035857753
D000170,D012202,0.11169648267844448
D000170,D012415,0.1057431526357561
D000170,D012497,0.10427310160432748
D000170,D012585,0.3817008203777258
D000170,D012607,0.11501507644599133
D000170,D012608,0.11421845082218651
D000170,D012618,0.099078618
D000170,D012640,0.1657344002213077
D000170,D012678,0.19817200612129585
D000170,D012791,0.10633836686714755
D000170,D012851,0.11545749816701552
D000170,D012887,0.15403419031712332
D000170,D012891,0.15134505655328961
D000170,D012892,0.1297466217587809
D000170,D012893,0.18746422729704798
D000170,D013009,0.10917235115329538
D000170,D013035,0.13643795918989982
D000170,D013036,0.11388498344973072
D000170,D013064,0.15406337897701525
D000170,D013106,0.14387477203130092
D000170,D013117,0.1319980476244646
D000170,D013118,0.1896245935820216
D000170,D013119,0.1579870294258018
D000170,D013120,0.1336905188232392
D000170,D013132,0.13924987178745418
D000170,D013226,0.1302979989781827
D000170,D013285,0.14283365498352246
D000170,D013341,0.11243442806262127
D000170,D013342,0.11481962913615247
D000170,D013344,0.10936271578668946
D000170,D013345,0.13819936359196894
D000170,D013349,0.11096396897920975
D000170,D013353,0.1114355730032153
D000170,D013354,0.10910283874149722
D000170,D013494,0.11083508583519304
D000170,D013547,0.11564543537646721
D000170,D013575,0.13434765934788823
D000170,D013595,0.12121196444741292
D000170,D013606,0.10666415094364419
D000170,D013631,0.3430150903545034
D000170,D013641,0.34790100271621016
D000170,D013651,0.11799086243399695
D000170,D013661,0.10747078328266417
D000170,D013700,0.11943223638483531
D000170,D013746,0.11477362428346989
D000170,D013786,0.11649256626672662
D000170,D013901,0.3797117914601519
D000170,D013981,0.133844012
D000170,D014012,0.12599588052212368
D000170,D014125,0.1111043397266646
D000170,D014202,0.12929373751133502
D000170,D014277,0.12322146607387216
D000170,D014313,0.11366366630189444
D000170,D014390,0.12232516868793256
D000170,D014402,0.11835383306430365
D000170,D014474,0.16263776275657243
D000170,D014607,0.11626810947235851
D000170,D014653,0.11017104012809771
D000170,D014715,0.12348757043171713
D000170,D014717,0.13530243834630065
D000170,D014786,0.1690666456346947
D000170,D014826,0.1232150375949546
D000170,D014832,0.13851903258983236
D000170,D014854,0.10704489954393726
D000170,D014884,0.10331295672034027
D000170,D014899,0.25963273209676047
D000170,D014901,0.11226833512435444
D000170,D014929,0.10140147666823889
D000170,D015051,0.11111757048923558
D000170,D015140,0.12340070787244635
D000170,D015161,0.10653101859316953
D000170,D015173,0.16122210004392862
D000170,D015174,0.10955372389633766
D000170,D015175,0.10915121128201881
D000170,D015192,0.14101351432363843
D000170,D015211,0.1047584333328468
D000170,D015324,0.10280998785140753
D000170,D015325,0.1037736657396898
D000170,D015354,0.11527413118464047
D000170,D015417,0.38548805514841117
D000170,D015418,0.11494760254734131
D000170,D015419,0.35405505146911426
D000170,D015493,0.11083829460044432
D000170,D015518,0.11148912328707287
D000170,D015526,0.11322909888358472
D000170,D015594,0.11257877687525278
D000170,D015624,0.26914632498253305
D000170,D015673,0.30368863774959626
D000170,D015807,0.11230940662371343
D000170,D015835,0.1677852550807428
D000170,D015840,0.1169970441227531
D000170,D015845,0.11349604687307457
D000170,D015875,0.11099765223850175
D000170,D015877,0.12116147764635635
D000170,D016080,0.11195732120857751
D000170,D016098,0.107465751
D000170,D016135,0.13437040504087597
D000170,D016136,0.11460590410997144
D000170,D016137,0.10864476522905835
D000170,D016142,0.11054019061803981
D000170,D016262,0.26406905136634584
D000170,D016472,0.36446451234718646
D000170,D016489,0.14205661401891811
D000170,D016518,0.12115197616246172
D000170,D016532,0.10660153576263878
D000170,D016537,0.10420829749256615
D000170,D016543,0.1952444379165682
