,Drug,Disease
576,DB00829,D001264
577,DB01075,D001264
578,DB00968,D001264
579,DB00422,D001264
580,DB00683,D001264
581,DB01618,D001264
582,DB00334,D001264
583,DB01174,D001264
584,DB00252,D001264
585,DB00981,D001264
586,DB00794,D001264
587,DB00387,D001264
588,DB00420,D001264
589,DB04844,D001264
590,DB00679,D001264
591,DB00906,D001264
592,DB00376,D001264
593,DB00541,D001264
594,DB00564,D001308
595,DB00907,D001308
596,DB00184,D001308
597,DB04930,D001308
598,DB01085,D001308
599,DB00929,D020211
600,DB00404,D001342
601,DB00321,D001342
602,DB00335,D001342
603,DB00290,D001342
604,DB00136,D001342
605,DB01136,D001342
606,DB00477,D001342
607,DB00515,D001342
608,DB00215,D001342
609,DB00575,D001342
610,DB00363,D001342
611,DB00907,D001342
612,DB01234,D001342
613,DB00450,D001342
614,DB00898,D001342
615,DB00441,D001342
616,DB00741,D001342
617,DB01235,D001342
618,DB00916,D001342
619,DB00683,D001342
620,DB00350,D001342
621,DB00022,D001342
622,DB00738,D001342
623,DB00780,D001342
624,DB01174,D001342
625,DB00457,D001342
626,DB00571,D001342
627,DB00811,D001342
628,DB00734,D001342
629,DB00570,D001342
630,DB00541,D001342
631,DB00361,D001342
632,DB01392,D001342
633,DB00907,D020144
634,DB00822,D020144
635,DB00915,D001480
636,DB01118,D001480
637,DB06288,D001480
638,DB00321,D001480
639,DB00381,D001480
640,DB00543,D001480
641,DB00714,D001480
642,DB06216,D001480
643,DB00810,D001480
644,DB01200,D001480
645,DB00490,D001480
646,DB00201,D001480
647,DB00564,D001480
648,DB00608,D001480
649,DB00477,D001480
650,DB01239,D001480
651,DB00501,D001480
652,DB00568,D001480
653,DB00363,D001480
654,DB00907,D001480
655,DB01151,D001480
656,DB00829,D001480
657,DB01075,D001480
658,DB00822,D001480
659,DB01184,D001480
660,DB00843,D001480
661,DB00988,D001480
662,DB00450,D001480
663,DB04841,D001480
664,DB00472,D001480
665,DB00623,D001480
666,DB00176,D001480
667,DB00502,D001480
668,DB01181,D001480
669,DB00458,D001480
670,DB00224,D001480
671,DB11757,D001480
672,DB00465,D001480
673,DB00709,D001480
674,DB00555,D001480
675,DB00448,D001480
676,DB01235,D001480
677,DB14509,D001480
678,DB00408,D001480
679,DB00737,D001480
680,DB00784,D001480
681,DB00422,D001480
682,DB01233,D001480
683,DB00683,D001480
684,DB01618,D001480
685,DB00295,D001480
686,DB01149,D001480
687,DB01115,D001480
688,DB00585,D001480
689,DB00540,D001480
690,DB00334,D001480
691,DB00904,D001480
692,DB00776,D001480
693,DB00715,D001480
694,DB00850,D001480
695,DB00252,D001480
696,DB01085,D001480
697,DB01100,D001480
698,DB00635,D001480
699,DB00433,D001480
700,DB00387,D001480
701,DB00392,D001480
702,DB00818,D001480
703,DB00571,D001480
704,DB00165,D001480
705,DB00734,D001480
706,DB00503,D001480
707,DB00989,D001480
708,DB06144,D001480
709,DB01104,D001480
710,DB01236,D001480
711,DB00391,D001480
712,DB00372,D001480
713,DB00679,D001480
714,DB01623,D001480
715,DB00831,D001480
716,DB00508,D001480
717,DB00376,D001480
718,DB11699,D001480
719,DB00313,D001480
720,DB01080,D001480
721,DB00246,D001480
722,DB09225,D001480
723,DB00907,D020145
724,DB00022,D020330
